id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
150689,Baldur's Gate III,2020-10-06,9.41,https://www.mobygames.com/game/150689/baldurs-gate-iii/,"Windows, Macintosh, Stadia, PlayStation 5, Xbox Series","Role-playing (RPG), Fantasy, Licensed, Diagonal-down, 2D scrolling, Point and select, Multiple units/characters control",Larian Studios NV,Larian Studios NV
96127,Super Mario Odyssey,2017-10-27,9.41,https://www.mobygames.com/game/96127/super-mario-odyssey/,Nintendo Switch,"Action, Platform, Fantasy, Behind view, Direct control",Nintendo EPD,"Nintendo Co., Ltd., Shenzhen Tencent Computer System Co., Ltd."
84595,The Legend of Zelda: Breath of the Wild,2017-03-03,9.36,https://www.mobygames.com/game/84595/the-legend-of-zelda-breath-of-the-wild/,"Wii U, Nintendo Switch","Action, Sci-fi / futuristic, Puzzle elements, Post-apocalyptic, Fantasy, Behind view, Sandbox / open world, RPG elements, Direct control, Motion control",Nintendo EPD,"Nintendo Co., Ltd."
141836,Persona 5: Royal,2019-10-31,9.35,https://www.mobygames.com/game/141836/persona-5-royal/,PlayStation 4,"Role-playing (RPG), Anime / Manga, Fantasy, Behind view, Japanese-style RPG (JRPG), Direct control, Menu structures, Asia, Contemporary","Atlus Co., Ltd.","SEGA of America, Inc., Atlus Co., Ltd., SEGA Games Co., Ltd."
230088,Astro Bot,2024-09-05,9.32,https://www.mobygames.com/game/230088/astro-bot/,PlayStation 5,"Action, Sci-fi / futuristic, Platform, Puzzle elements, 3rd-person (Other), Cinematic camera, Direct control",ASOBI Team,Sony Interactive Entertainment Inc.
203119,The Legend of Zelda: Tears of the Kingdom,2023-05-12,9.32,https://www.mobygames.com/game/203119/the-legend-of-zelda-tears-of-the-kingdom/,Nintendo Switch,"Action, Puzzle elements, Fantasy, Behind view, Sandbox / open world, RPG elements, Direct control",Nintendo EPD,"Nintendo Co., Ltd."
174989,Elden Ring,2022-02-25,9.3,https://www.mobygames.com/game/174989/elden-ring/,"Windows, PlayStation 4, Xbox One, PlayStation 5, Xbox Series","Role-playing (RPG), Hack and slash, Fantasy, Behind view, Sandbox / open world, Action RPG, Direct control","FromSoftware, Inc.","FromSoftware, Inc., BANDAI NAMCO Entertainment Inc."
199460,Metroid Prime: Remastered,2023-02-08,9.28,https://www.mobygames.com/game/199460/metroid-prime-remastered/,Nintendo Switch,"Action, 1st-person, Sci-fi / futuristic, Metroidvania, Direct control",Retro Studios Inc.,"Nintendo Co., Ltd."
195074,God of War: Ragnarök,2022-11-09,9.21,https://www.mobygames.com/game/195074/god-of-war-ragnarok/,"PlayStation 4, PlayStation 5","Action, Puzzle elements, Hack and slash, Fantasy, Behind view, RPG elements, Direct control",SIE Santa Monica Studio,Sony Interactive Entertainment America LLC
31282,Super Mario Galaxy,2007-11-01,9.17,https://www.mobygames.com/game/31282/super-mario-galaxy/,"Wii, Android, Wii U","Action, Sci-fi / futuristic, Platform, Puzzle elements, Fantasy, Behind view, Direct control, Motion control",Nintendo EAD,"Nintendo Co., Ltd."
